venue_name,venue_id,hrs,trips,lob,attendance,temp,time,date,
Marlins Park,4169,2,0,11,16034,82,166,May 19, 2015,
Petco Park,2680,3,0,8,25917,64,167,May 19, 2015,
Kauffman Stadium,7,0,0,10,29769,57,132,May 19, 2015,
U.S. Cellular Field,4,1,1,16,15681,50,177,May 19, 2015,
AT&T Park,2395,0,0,20,41392,57,179,May 19, 2015,
Comerica Park,2394,3,1,12,26994,53,154,May 19, 2015,
PNC Park,31,3,0,13,22357,72,173,May 19, 2015,
Nationals Park,3309,5,0,9,37355,89,200,May 19, 2015,
Minute Maid Park,2392,4,0,13,17575,73,201,May 19, 2015,
Coors Field,19,1,1,11,21249,46,174,May 19, 2015,
Oriole Park at Camden Yards,2,3,0,13,19494,80,162,May 19, 2015,
Citi Field,3289,2,1,12,21157,72,163,May 19, 2015,
Turner Field,16,1,1,11,20120,80,163,May 19, 2015,
Fenway Park,3,3,1,20,36580,64,170,May 19, 2015,
Rogers Centre,14,1,0,12,16402,68,156,May 20, 2015,
Marlins Park,4169,0,0,12,17158,82,156,May 20, 2015,
Petco Park,2680,1,1,14,25028,64,177,May 20, 2015,
Kauffman Stadium,7,0,0,14,30450,52,164,May 20, 2015,
U.S. Cellular Field,4,2,0,12,15146,51,176,May 20, 2015,
AT&T Park,2395,1,0,15,41920,58,156,May 20, 2015,
Comerica Park,2394,1,1,13,27716,56,185,May 20, 2015,
PNC Park,31,2,0,18,21718,54,236,May 20, 2015,
Nationals Park,3309,2,0,14,37648,72,163,May 20, 2015,
Minute Maid Park,2392,1,0,17,21066,73,182,May 20, 2015,
Coors Field,19,1,0,13,21714,40,170,May 20, 2015,
Oriole Park at Camden Yards,2,1,1,14,21710,66,158,May 20, 2015,
Citi Field,3289,2,1,15,23726,60,163,May 20, 2015,
Turner Field,16,0,0,15,24549,84,154,May 20, 2015,
Fenway Park,3,2,0,18,35726,59,193,May 20, 2015,
Rogers Centre,14,4,0,8,19014,68,142,May 21, 2015,
Marlins Park,4169,0,1,16,20692,76,182,May 21, 2015,
Petco Park,2680,2,0,9,30021,64,128,May 21, 2015,
U.S. Cellular Field,4,3,0,18,18321,69,184,May 21, 2015,
Comerica Park,2394,3,1,13,33193,59,220,May 21, 2015,
AT&T Park,2395,1,0,16,41840,62,174,May 21, 2015,
