team,game_id,runs_for,h,d,t,hr,tb,bb,sb,sac,sf,sacsf,runs_against,qs,so,saves,holds,batting_team,pitching_team,
phi,2015/06/06/sfnmlb-phimlb-1,5,6,0,0,2,12,1,0,0,0,0,7,0,10,0,0,,,
sfn,2015/06/06/sfnmlb-phimlb-1,7,12,1,0,0,13,3,0,0,1,1,5,0,13,1,0,Portlandia Misfits,Portlandia Misfits,
lan,2015/06/06/slnmlb-lanmlb-1,2,7,2,0,0,9,0,0,1,0,1,0,1,12,1,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
sln,2015/06/06/slnmlb-lanmlb-1,0,1,0,0,0,1,2,0,0,0,0,2,1,6,0,0,Paly Players,No-Talent Ass Clowns,
sea,2015/06/06/tbamlb-seamlb-1,2,9,2,0,1,14,4,0,0,0,0,1,1,8,1,1,,The Rube,
tba,2015/06/06/tbamlb-seamlb-1,1,3,0,1,0,5,3,2,0,0,0,2,1,4,0,0,Dr. Watson,Damnedest of the Nice,
kca,2015/06/06/texmlb-kcamlb-1,2,9,2,0,1,14,0,1,0,0,0,4,0,9,0,0,Paly Players,Paly Players,
tex,2015/06/06/texmlb-kcamlb-1,4,11,2,0,0,13,4,1,1,1,2,2,1,5,1,2,Damnedest of the Nice,Paly Players,
nya,2015/06/07/anamlb-nyamlb-1,6,7,1,0,3,17,1,0,0,0,0,2,1,12,0,1,,Portlandia Misfits,
ana,2015/06/07/anamlb-nyamlb-1,2,5,1,0,2,12,2,0,0,0,0,6,0,10,0,0,,No-Talent Ass Clowns,
cle,2015/06/07/balmlb-clemlb-1,3,9,4,0,0,13,3,0,0,0,0,7,0,11,0,0,Dr. Watson,Detroit Noojies (aka dbags),
bal,2015/06/07/balmlb-clemlb-1,7,12,1,1,2,21,3,0,0,1,1,3,0,12,0,1,Damnedest of the Nice,,
was,2015/06/07/chnmlb-wasmlb-1,3,8,0,0,1,11,0,0,0,0,0,6,0,5,0,0,The Rube,Detroit Noojies (aka dbags),
chn,2015/06/07/chnmlb-wasmlb-1,6,14,4,1,0,20,5,0,0,0,0,3,0,7,1,3,Detroit Noojies (aka dbags),Portlandia Misfits,
cha,2015/06/07/detmlb-chamlb-1,4,6,2,1,1,13,2,0,0,0,0,6,0,5,0,0,,No-Talent Ass Clowns,
det,2015/06/07/detmlb-chamlb-1,6,10,1,1,2,19,1,0,0,0,0,4,1,7,1,0,Buena Vista Bottoms,Damnedest of the Nice,
tor,2015/06/07/houmlb-tormlb-1,7,12,1,0,3,22,2,3,0,0,0,6,0,8,0,1,Buena Vista Bottoms,,
hou,2015/06/07/houmlb-tormlb-1,6,8,2,0,1,13,5,2,0,1,1,7,1,4,0,2,Portlandia Misfits,Paly Players,
col,2015/06/07/miamlb-colmlb-1,2,5,1,0,1,9,4,1,0,1,1,3,1,4,0,0,Portlandia Misfits,,
mia,2015/06/07/miamlb-colmlb-1,3,7,0,0,1,10,1,0,0,0,0,2,1,9,1,0,The Rube,Buena Vista Bottoms,
min,2015/06/07/milmlb-minmlb-1,2,9,1,1,0,12,4,0,0,0,0,0,1,8,1,0,Buena Vista Bottoms,,
