team,first_name,last_name,player,date,gamekey,status,pitcherp,W,SV,ER,QS,DP,HR,SB,H,ASS,BB
Pierzinskis Misspelled D-Bags,Justin,Masterson,475416,2014-07-01,2014_07_01_clemlb_lanmlb_1,F,1,0,0,3,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Justin,Masterson,475416,2014-07-07,2014_07_07_nyamlb_clemlb_1,F,1,0,0,5,0,1,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Jason,Motte,435400,2014-07-01,2014_07_01_slnmlb_sfnmlb_1,F,1,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Jason,Motte,435400,2014-07-03,2014_07_03_slnmlb_sfnmlb_1,F,1,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Jason,Motte,435400,2014-07-06,2014_07_06_miamlb_slnmlb_1,F,1,0,0,4,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Jason,Motte,435400,2014-07-10,2014_07_10_pitmlb_slnmlb_1,F,1,0,0,1,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Jason,Motte,435400,2014-07-12,2014_07_12_slnmlb_milmlb_1,F,1,0,0,0,0,0,0,0,0,0,0
No-Talent Ass Clowns,Billy,Hamilton,571740,2014-07-01,2014_07_01_cinmlb_sdnmlb_1,F,0,0,0,0,0,0,0,1,2,0,0
No-Talent Ass Clowns,Billy,Hamilton,571740,2014-07-02,2014_07_02_cinmlb_sdnmlb_1,F,0,0,0,0,0,0,0,0,0,0,0
No-Talent Ass Clowns,Billy,Hamilton,571740,2014-07-04,2014_07_04_milmlb_cinmlb_1,F,0,0,0,0,0,0,1,0,1,0,0
No-Talent Ass Clowns,Billy,Hamilton,571740,2014-07-05,2014_07_05_milmlb_cinmlb_1,F,0,0,0,0,0,0,0,0,0,0,0
No-Talent Ass Clowns,Billy,Hamilton,571740,2014-07-06,2014_07_06_milmlb_cinmlb_1,F,0,0,0,0,0,0,0,0,0,1,0
No-Talent Ass Clowns,Billy,Hamilton,571740,2014-07-07,2014_07_07_chnmlb_cinmlb_1,F,0,0,0,0,0,0,0,0,2,0,1
No-Talent Ass Clowns,Billy,Hamilton,571740,2014-07-08,2014_07_08_chnmlb_cinmlb_1,F,0,0,0,0,0,0,0,2,2,0,0
No-Talent Ass Clowns,Billy,Hamilton,571740,2014-07-08,2014_07_08_chnmlb_cinmlb_2,F,0,0,0,0,0,0,0,0,2,0,1
No-Talent Ass Clowns,Billy,Hamilton,571740,2014-07-09,2014_07_09_chnmlb_cinmlb_1,F,0,0,0,0,0,0,0,0,1,0,1
No-Talent Ass Clowns,Billy,Hamilton,571740,2014-07-10,2014_07_10_chnmlb_cinmlb_1,F,0,0,0,0,0,0,0,0,0,0,0
No-Talent Ass Clowns,Billy,Hamilton,571740,2014-07-11,2014_07_11_pitmlb_cinmlb_1,F,0,0,0,0,0,0,0,0,3,0,0
No-Talent Ass Clowns,Billy,Hamilton,571740,2014-07-12,2014_07_12_pitmlb_cinmlb_1,F,0,0,0,0,0,0,0,1,1,0,0
No-Talent Ass Clowns,Hunter,Pence,452254,2014-07-01,2014_07_01_slnmlb_sfnmlb_1,F,0,0,0,0,0,0,0,0,2,0,0
No-Talent Ass Clowns,Hunter,Pence,452254,2014-07-02,2014_07_02_slnmlb_sfnmlb_1,F,0,0,0,0,0,0,0,0,1,0,0
No-Talent Ass Clowns,Hunter,Pence,452254,2014-07-03,2014_07_03_slnmlb_sfnmlb_1,F,0,0,0,0,0,0,0,0,1,0,0
No-Talent Ass Clowns,Hunter,Pence,452254,2014-07-04,2014_07_04_sfnmlb_sdnmlb_1,F,0,0,0,0,0,0,0,0,1,0,0
No-Talent Ass Clowns,Hunter,Pence,452254,2014-07-05,2014_07_05_sfnmlb_sdnmlb_1,F,0,0,0,0,0,0,0,0,2,0,1
No-Talent Ass Clowns,Hunter,Pence,452254,2014-07-06,2014_07_06_sfnmlb_sdnmlb_1,F,0,0,0,0,0,0,0,0,3,0,0
No-Talent Ass Clowns,Hunter,Pence,452254,2014-07-07,2014_07_07_sfnmlb_oakmlb_1,F,0,0,0,0,0,0,0,0,0,0,1
No-Talent Ass Clowns,Hunter,Pence,452254,2014-07-08,2014_07_08_sfnmlb_oakmlb_1,F,0,0,0,0,0,0,0,0,2,0,0
No-Talent Ass Clowns,Hunter,Pence,452254,2014-07-09,2014_07_09_oakmlb_sfnmlb_1,F,0,0,0,0,0,0,1,1,2,0,0
No-Talent Ass Clowns,Hunter,Pence,452254,2014-07-10,2014_07_10_oakmlb_sfnmlb_1,F,0,0,0,0,0,0,0,0,2,0,0
No-Talent Ass Clowns,Hunter,Pence,452254,2014-07-11,2014_07_11_arimlb_sfnmlb_1,F,0,0,0,0,0,0,0,0,1,0,0
No-Talent Ass Clowns,Hunter,Pence,452254,2014-07-12,2014_07_12_arimlb_sfnmlb_1,F,0,0,0,0,0,0,0,0,0,0,0
No-Talent Ass Clowns,Daniel,Murphy,502517,2014-07-01,2014_07_01_nynmlb_atlmlb_1,F,0,0,0,0,0,0,1,0,1,3,0
No-Talent Ass Clowns,Daniel,Murphy,502517,2014-07-02,2014_07_02_nynmlb_atlmlb_1,F,0,0,0,0,0,0,0,0,0,1,1
No-Talent Ass Clowns,Daniel,Murphy,502517,2014-07-04,2014_07_04_texmlb_nynmlb_1,F,0,0,0,0,0,0,0,0,0,3,0
No-Talent Ass Clowns,Daniel,Murphy,502517,2014-07-05,2014_07_05_texmlb_nynmlb_1,F,0,0,0,0,0,0,0,0,1,6,0
No-Talent Ass Clowns,Daniel,Murphy,502517,2014-07-06,2014_07_06_texmlb_nynmlb_1,F,0,0,0,0,0,0,0,0,1,0,0
No-Talent Ass Clowns,Daniel,Murphy,502517,2014-07-07,2014_07_07_atlmlb_nynmlb_1,F,0,0,0,0,0,0,0,0,1,0,0
No-Talent Ass Clowns,Daniel,Murphy,502517,2014-07-08,2014_07_08_atlmlb_nynmlb_1,F,0,0,0,0,0,0,0,0,2,3,0
No-Talent Ass Clowns,Daniel,Murphy,502517,2014-07-09,2014_07_09_atlmlb_nynmlb_1,F,0,0,0,0,0,0,0,0,2,3,0
No-Talent Ass Clowns,Daniel,Murphy,502517,2014-07-10,2014_07_10_atlmlb_nynmlb_1,F,0,0,0,0,0,0,0,0,1,0,1
No-Talent Ass Clowns,Daniel,Murphy,502517,2014-07-11,2014_07_11_miamlb_nynmlb_1,F,0,0,0,0,0,0,0,0,1,5,0
No-Talent Ass Clowns,Daniel,Murphy,502517,2014-07-12,2014_07_12_miamlb_nynmlb_1,F,0,0,0,0,0,0,0,0,0,4,0
No-Talent Ass Clowns,Pedro,Alvarez,476883,2014-07-01,2014_07_01_arimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,0,6,0
No-Talent Ass Clowns,Pedro,Alvarez,476883,2014-07-02,2014_07_02_arimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,1,2,0
No-Talent Ass Clowns,Pedro,Alvarez,476883,2014-07-03,2014_07_03_arimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,1,2,0
No-Talent Ass Clowns,Pedro,Alvarez,476883,2014-07-04,2014_07_04_phimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,0,0,0
No-Talent Ass Clowns,Pedro,Alvarez,476883,2014-07-05,2014_07_05_phimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,1,3,0
No-Talent Ass Clowns,Pedro,Alvarez,476883,2014-07-06,2014_07_06_phimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,0,6,1
No-Talent Ass Clowns,Pedro,Alvarez,476883,2014-07-07,2014_07_07_pitmlb_slnmlb_1,F,0,0,0,0,0,0,0,0,1,5,0
No-Talent Ass Clowns,Pedro,Alvarez,476883,2014-07-08,2014_07_08_pitmlb_slnmlb_1,F,0,0,0,0,0,0,1,0,1,2,0
No-Talent Ass Clowns,Pedro,Alvarez,476883,2014-07-09,2014_07_09_pitmlb_slnmlb_1,F,0,0,0,0,0,0,0,1,0,4,1
No-Talent Ass Clowns,Pedro,Alvarez,476883,2014-07-10,2014_07_10_pitmlb_slnmlb_1,F,0,0,0,0,0,0,0,0,2,0,0
No-Talent Ass Clowns,Pedro,Alvarez,476883,2014-07-11,2014_07_11_pitmlb_cinmlb_1,F,0,0,0,0,0,0,1,0,1,1,1
No-Talent Ass Clowns,Pedro,Alvarez,476883,2014-07-12,2014_07_12_pitmlb_cinmlb_1,F,0,0,0,0,0,0,0,0,0,4,1
No-Talent Ass Clowns,Buster,Posey,457763,2014-07-01,2014_07_01_slnmlb_sfnmlb_1,F,0,0,0,0,0,0,0,0,1,1,0
No-Talent Ass Clowns,Buster,Posey,457763,2014-07-02,2014_07_02_slnmlb_sfnmlb_1,F,0,0,0,0,0,0,0,0,0,0,0
