bref_id,mlb_depth,debut,espn_id,cbs_name,mlb_name,bref_name,bats,lahman_id,retro_id,espn_pos,nfbc_id,yahoo_name,espn_name,yahoo_pos,nfbc_name,birth_year,mlb_id,fg_name,retro_name,wb_years,cbs_id,yahoo_id,mlb_team,bp_id,cbs_pos,nfbc_pos,mlb_team_long,fg_id,throws,mlb_pos
waldrky02,,8/2/2015,31183,Kyle Waldrop,Kyle Waldrop,Kyle Waldrop,L,,waldk002,CF,10037,Kyle Waldrop,Kyle Waldrop,RF,Kyle Waldrop,1991,592835,Kyle Waldrop,Kyle Waldrop,-1,1804107,10037,CIN,67147,CF,RF,Cincinnati Reds,11402,L,RF
,,,32689,Kyle Zimmer,Kyle Zimmer,,R,,,SP,9335,Kyle Zimmer,Kyle Zimmer,SP,Kyle Zimmer,1991,622092,Kyle Zimmer,,0,2000030,9335,KC,100727,SP,P,Kansas City Royals,sa621583,R,P
fujikky01,,4/1/2013,32583,Kyuji Fujikawa,Kyuji Fujikawa,Kyuji Fujikawa,L,fujikky01,fujik001,RP,9316,Kyuji Fujikawa,Kyuji Fujikawa,RP,Kyuji Fujikawa,1980,493117,Kyuji Fujikawa,Kyuji Fujikawa,-1,2029077,9316,TEX,35683,RP,P,Texas Rangers,14443,R,P
hoeslj01,,9/25/2012,32090,L.J. Hoes,L.J. Hoes,L.J. Hoes,R,hoeslj01,hoesl001,LF,9307,L.J. Hoes,L.J. Hoes,LF/RF,L.J. Hoes,1990,543321,L.J. Hoes,L.J. Hoes,1.067,1910547,9307,BAL,57979,OF,LF,Baltimore Orioles,6656,R,LF
lynnla01,SP6,6/2/2011,30820,Lance Lynn,Lance Lynn,Lance Lynn,R,lynnla01,lynnl001,SP,8650,Lance Lynn,Lance Lynn,SP,Lance Lynn,1987,458681,Lance Lynn,Lance Lynn,4.119,1733864,8650,STL,58410,SP,P,St. Louis Cardinals,2520,R,P
mcculla02,SP3,5/18/2015,32764,Lance McCullers,Lance McCullers,Lance McCullers,L,,mccul002,SP,9575,Lance McCullers,Lance McCullers,SP,Lance McCullers,1993,621121,Lance McCullers,Lance McCullers,0.14,2001084,9575,HOU,100521,SP,P,Houston Astros,14120,R,P
adamsla01,,9/1/2014,32911,Lane Adams,Lane Adams,Lane Adams,R,adamsla01,adaml001,RF,9806,Lane Adams,Lane Adams,CF,Lane Adams,1989,572669,Lane Adams,Lane Adams,-1,2048786,9806,NYY,60150,RF,CF,New York Yankees,10767,R,CF
anderla03,,9/6/2010,29299,Lars Anderson,Lars Anderson,Lars Anderson,L,anderla03,andel002,1B,8407,Lars Anderson,Lars Anderson,1B,Lars Anderson,1987,502249,Lars Anderson,Lars Anderson,-1,1599165,8407,TOR,55897,1B,OF,Toronto Blue Jays,9018,L,1B
hawkila01,,4/29/1995,3176,LaTroy Hawkins,LaTroy Hawkins,LaTroy Hawkins,R,hawkila01,hawkl001,RP,5336,LaTroy Hawkins,LaTroy Hawkins,RP,LaTroy Hawkins,1972,115629,LaTroy Hawkins,LaTroy Hawkins,-1,7696,5336,TOR,1476,RP,P,Toronto Blue Jays,729,R,P
nixla01,,7/10/2003,5576,Laynce Nix,Laynce Nix,Laynce Nix,L,nixla01,nix-l001,RF,7176,Laynce Nix,Laynce Nix,RF,Laynce Nix,1980,425556,Laynce Nix,Laynce Nix,-1,225411,7176,PHI,31708,OF,OF,Philadelphia Phillies,1766,L,OF
