team,first_name,last_name,player,date,gamekey,status,pitcherp,W,SV,ER,QS,DP,HR,SB,H,ASS,BB
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-09,2014_07_09_kcamlb_tbamlb_1,F,0,0,0,0,0,0,0,0,1,4,1
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-11,2014_07_11_tormlb_tbamlb_1,F,0,0,0,0,0,0,0,0,0,0,1
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-12,2014_07_12_tormlb_tbamlb_1,F,0,0,0,0,0,0,0,0,0,1,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-13,2014_07_13_tormlb_tbamlb_1,F,0,0,0,0,0,0,0,0,1,2,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-18,2014_07_18_tbamlb_minmlb_1,F,0,0,0,0,0,0,0,0,2,2,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-19,2014_07_19_tbamlb_minmlb_1,F,0,0,0,0,0,0,0,0,1,1,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-20,2014_07_20_tbamlb_minmlb_1,F,0,0,0,0,0,0,0,0,2,3,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-22,2014_07_22_tbamlb_slnmlb_1,F,0,0,0,0,0,0,1,0,1,0,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-23,2014_07_23_tbamlb_slnmlb_1,F,0,0,0,0,0,0,0,0,0,4,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-25,2014_07_25_bosmlb_tbamlb_1,F,0,0,0,0,0,0,0,0,1,2,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-26,2014_07_26_bosmlb_tbamlb_1,F,0,0,0,0,0,0,0,0,1,0,1
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-27,2014_07_27_bosmlb_tbamlb_1,F,0,0,0,0,0,0,0,0,0,4,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-28,2014_07_28_milmlb_tbamlb_1,F,0,0,0,0,0,0,0,0,0,3,2
